r,gtt,grr,phi,gtt_schw,grr_schw
1.074003902308770630e+00,6.939888087217917223e-02,1.438916293621365305e+01,7.067232099858408167e-01,6.890468661211146539e-02,1.451280093078935352e+01
1.074498637491703379e+00,6.983401987038043157e-02,1.429939771389431336e+01,7.067093999455063003e-01,6.933339409867667058e-02,1.442306428236846472e+01
1.074993600572226482e+00,7.026898645143542232e-02,1.421077612637663634e+01,7.066955835436373734e-01,6.976190419394767694e-02,1.433447110646324418e+01
1.075488791655319520e+00,7.070378086562124909e-02,1.412327646653414348e+01,7.066817607773036025e-01,7.019021698880956173e-02,1.424699969455045512e+01
1.075984210846011591e+00,7.113840337473807673e-02,1.403687757329127628e+01,7.066679316435731106e-01,7.061833257410687903e-02,1.416062888415837406e+01
1.076479858249378863e+00,7.157285425186031558e-02,1.395155881456202707e+01,7.066540961395129106e-01,7.104625104064088426e-02,1.407533804180555315e+01
1.076975733970546578e+00,7.200713378109145635e-02,1.386730007082338645e+01,7.066402542621884608e-01,7.147397247917164353e-02,1.399110704657435633e+01
1.077471838114688607e+00,7.244124225731504718e-02,1.378408171929750026e+01,7.066264060086639986e-01,7.190149698041792270e-02,1.390791627429323007e+01
1.077968170787026780e+00,7.287517998594376933e-02,1.370188461871624597e+01,7.066125513760023180e-01,7.232882463505585502e-02,1.382574658230138986e+01
1.078464732092831779e+00,7.330894728267005334e-02,1.362069009464256020e+01,7.065986903612649916e-01,7.275595553372038449e-02,1.374457929477027562e+01
1.078961522137422469e+00,7.374254447321400285e-02,1.354047992532591493e+01,7.065848229615120379e-01,7.318288976700459969e-02,1.366439618855912208e+01
1.079458541026166341e+00,7.417597189307094385e-02,1.346123632806877524e+01,7.065709491738022541e-01,7.360962742545962278e-02,1.358517947958158523e+01
1.079955788864479516e+00,7.460922988725972316e-02,1.338294194608275944e+01,7.065570689951931049e-01,7.403616859959527563e-02,1.350691180966199489e+01
1.080453265757826520e+00,7.504231881006878657e-02,1.330557983581433135e+01,7.065431824227406121e-01,7.446251337987941366e-02,1.342957623386119792e+01
1.080950971811720507e+00,7.547523902480363089e-02,1.322913345472026592e+01,7.065292894534993540e-01,7.488866185673825893e-02,1.335315620825214467e+01
1.081448907131723702e+00,7.590799090353365919e-02,1.315358664947443756e+01,7.065153900845229096e-01,7.531461412055684423e-02,1.327763557812684425e+01
1.081947071823446072e+00,7.634057482683817564e-02,1.307892364458870205e+01,7.065014843128631927e-01,7.574037026167790287e-02,1.320299856661734061e+01
1.082445465992546652e+00,7.677299118355425389e-02,1.300512903143019372e+01,7.064875721355707849e-01,7.616593037040286784e-02,1.312922976371319272e+01
1.082944089744733551e+00,7.720524037052413358e-02,1.293218775761973127e+01,7.064736535496949354e-01,7.659129453699198287e-02,1.305631411565998690e+01
1.083442943185763063e+00,7.763732279234207556e-02,1.286008511679583499e+01,7.064597285522835612e-01,7.701646285166330319e-02,1.298423691472352814e+01
1.083942026421440330e+00,7.806923886110347932e-02,1.278880673872939155e+01,7.064457971403833580e-01,7.744143540459369479e-02,1.291298378930462931e+01
1.084441339557619122e+00,7.850098899615336190e-02,1.271833857977546245e+01,7.064318593110393563e-01,7.786621228591827926e-02,1.284254069439107759e+01
1.084940882700202280e+00,7.893257362383662712e-02,1.264866691364858475e+01,7.064179150612954761e-01,7.829079358573098890e-02,1.277289390233306499e+01
1.085440655955141276e+00,7.936399317724816826e-02,1.257977832250910311e+01,7.064026092504478438e-01,7.871517939408412268e-02,1.270402999392967835e+01
1.085940659428436206e+00,7.979524809598430302e-02,1.251165968834817122e+01,7.063865981051942189e-01,7.913936980098834617e-02,1.263593584981405016e+01
1.086440893226136017e+00,8.022633882589590149e-02,1.244429818465986415e+01,7.063705795844767987e-01,7.956336489641302467e-02,1.256859864212559508e+01
1.086941357454338952e+00,8.065726581884199997e-02,1.237768126838929739e+01,7.063545536848981898e-01,7.998716477028633420e-02,1.250200582645830139e+01
1.087442052219191657e+00,8.108802953244448330e-02,1.231179667214629880e+01,7.063385204030593334e-01,8.041076951249470639e-02,1.243614513407453437e+01
1.087942977626889851e+00,8.151863042984471008e-02,1.224663239667417791e+01,7.063224797355595053e-01,8.083417921288327257e-02,1.237100456437393881e+01
1.088444133783678103e+00,8.194906897946119262e-02,1.218217670356409243e+01,7.063064316789966490e-01,8.125739396125575276e-02,1.230657237760798672e+01
1.088945520795850053e+00,8.237934565474923365e-02,1.211841810820567922e+01,7.062903762299670429e-01,8.168041384737478872e-02,1.224283708783069535e+01
1.089447138769748191e+00,8.280946093396100716e-02,1.205534537296512276e+01,7.062743133850651889e-01,8.210323896096127783e-02,1.217978745607689461e+01
1.089948987811763859e+00,8.323941529990877553e-02,1.199294750058194658e+01,7.062582431408844785e-01,8.252586939169503921e-02,1.211741248375911795e+01
1.090451068028337689e+00,8.366920923972893942e-02,1.193121372777658529e+01,7.062421654940161941e-01,8.294830522921470273e-02,1.205570140627534137e+01
1.090953379525959388e+00,8.409884324464794725e-02,1.187013351906092495e+01,7.062260804410505077e-01,8.337054656311748690e-02,1.199464368681963933e+01
1.091455922411167512e+00,8.452831780975020304e-02,1.180969656074415930e+01,7.062099879785758150e-01,8.379259348295942100e-02,1.193422901038820605e+01
1.091958696790549466e+00,8.495763343374777843e-02,1.174989275512703912e+01,7.061938881031789572e-01,8.421444607825512296e-02,1.187444727797370625e+01
