r,gtt,grr,phi,gtt_schw,grr_schw
1.011124369753756191e+00,1.186047581187384993e-02,1.011241951699139605e+02,4.740325607900319760e-01,1.100197966395111138e-02,9.089273299391581418e+01
1.011590139756046280e+00,1.238897211541678707e-02,9.522562767800057770e+01,4.740741566314157773e-01,1.145734749731874835e-02,8.728023656732243296e+01
1.012056124313243322e+00,1.291083355203930319e-02,8.978505862863269726e+01,4.741157716337413008e-01,1.191250566407497935e-02,8.394539555315722623e+01
1.012522323524180923e+00,1.342582606506247979e-02,8.481382202516510915e+01,4.741574058058349861e-01,1.236745426075724907e-02,8.085738414032920218e+01
1.012988737487738655e+00,1.393397510076138483e-02,8.031061429303584021e+01,4.741780109063931103e-01,1.282219338385870433e-02,7.798977679270194585e+01
1.013455366302841165e+00,1.443552736574458401e-02,7.626344712449620999e+01,4.741941313200174757e-01,1.327672312982797198e-02,7.531979014862208999e+01
1.013922210068459062e+00,1.493091084080574310e-02,7.265168049846302267e+01,4.742102591594395955e-01,1.373104359506938099e-02,7.282767643087854026e+01
1.014389268883608031e+00,1.542069484855548844e-02,6.944801585224253415e+01,4.742263944280801780e-01,1.418515487594251834e-02,7.049623417901216271e+01
1.014856542847350163e+00,1.590555157527268754e-02,6.662036751434511928e+01,4.742425371293614300e-01,1.463905706876322821e-02,6.831041065710418536e+01
1.015324032058792181e+00,1.638622009616956185e-02,6.413355984378365804e+01,4.742586872667071685e-01,1.509275026980239076e-02,6.625697650353377810e+01
1.015791736617087437e+00,1.686347364921642056e-02,6.195081986960367715e+01,4.742748448435428199e-01,1.554623457528703234e-02,6.432425775883012875e+01
1.016259656621434138e+00,1.733809064472602648e-02,6.003505201183927653e+01,4.742910098632952542e-01,1.599951008139943731e-02,6.250191380313393097e+01
1.016727792171077116e+00,1.781082968335905015e-02,5.834989382957413540e+01,4.743071823293930622e-01,1.645257688427825826e-02,6.078075228176439992e+01
1.017196143365305616e+00,1.828240868032101479e-02,5.686056059893101633e+01,4.743233622452664444e-01,1.690543508001673967e-02,5.915257402526488306e+01
1.017664710303455955e+00,1.875348805410309572e-02,5.553449261374573354e+01,4.743395496143469892e-01,1.735808476466527139e-02,5.761004244175804700e+01
1.018133493084909524e+00,1.922465782976465892e-02,5.434182302522684438e+01,4.743557444400680612e-01,1.781052603422927927e-02,5.614657299161985549e+01
1.018602491809093458e+00,1.969642842526532489e-02,5.325568628168871754e+01,4.743719467258645239e-01,1.826275898466966918e-02,5.475623923194908826e+01
1.019071706575480851e+00,2.016922483065104049e-02,5.225238819173357996e+01,4.743881564751727953e-01,1.871478371190382628e-02,5.343369260334729631e+01
1.019541137483590543e+00,2.064338385033885961e-02,5.131145863469563295e+01,4.744043736914309584e-01,1.916660031180450474e-02,5.217409366981533481e+01
1.020010784632987555e+00,2.111915405502954798e-02,5.041560723960889590e+01,4.744205983780785951e-01,1.961820888020093800e-02,5.097305294823416233e+01
1.020480648123281986e+00,2.159669807897355437e-02,4.955060115616199568e+01,4.744368305385568418e-01,2.006960951287706241e-02,4.982657980258061770e+01
1.020950728054130785e+00,2.207609689794362909e-02,4.870508251341060202e+01,4.744530701763086111e-01,2.052080230557407070e-02,4.873103814895043229e+01
1.021421024525236199e+00,2.255735573110870251e-02,4.787034143506475203e+01,4.744693172947782589e-01,2.097178735398841365e-02,4.768310793547217941e+01
1.021891537636346436e+00,2.304041122428732158e-02,4.704005865556209187e+01,4.744855718974116399e-01,2.142256475377213309e-02,4.667975153740253091e+01
1.022362267487255894e+00,2.352513959118051820e-02,4.621002993702791883e+01,4.745018339876564406e-01,2.187313460053397218e-02,4.571818435093376110e+01
1.022833214177804706e+00,2.401136541188762102e-02,4.537788268216098686e+01,4.745181035689616800e-01,2.232349698983815411e-02,4.479584898616953126e+01
1.023304377807879195e+00,2.449887081322539573e-02,4.454279341485083421e+01,4.745343806447780977e-01,2.277365201720504828e-02,4.391039255559536514e+01
1.023775758477411646e+00,2.498740478219321423e-02,4.370521318891457696e+01,4.745506652185580987e-01,2.322359977811117027e-02,4.305964663335807785e+01
1.024247356286380084e+00,2.547669239165259794e-02,4.286660650532378725e+01,4.745669572937554759e-01,2.367334036798873775e-02,4.224160952597155472e+01
1.024719171334809165e+00,2.596644374531074592e-02,4.202920798111659195e+01,4.745564639658130801e-01,2.412287388222644768e-02,4.145443054928842486e+01
1.025191203722769062e+00,2.645636247692021922e-02,4.119579982382573746e+01,4.745391287727125929e-01,2.457220041616869910e-02,4.069639605177533070e+01
1.025663453550376358e+00,2.694615366585082633e-02,4.036951212364245833e+01,4.745217855942315821e-01,2.502132006511614826e-02,3.996591696191781296e+01
1.026135920917793598e+00,2.743553105750691848e-02,3.955364707790074874e+01,4.745044344266914904e-01,2.547023292432559760e-02,3.926151766931585740e+01
1.026608605925229512e+00,2.792422350220908137e-02,3.875152750217203845e+01,4.744870752664122615e-01,2.591893908900999577e-02,3.858182607574453016e+01
1.027081508672939236e+00,2.841198054991136632e-02,3.796636935075268582e+01,4.744697081097120073e-01,2.636743865433854861e-02,3.792556467502990358e+01
1.027554629261223873e+00,2.889857716031674073e-02,3.720117745671345233e+01,4.744523329529072853e-01,2.681573171543660816e-02,3.729154253972286881e+01
1.028027967790430264e+00,2.938381750845504153e-02,3.645866329730459654e+01,4.744349497923128767e-01,2.726381836738500652e-02,3.667864810881640381e+01
